model,press,compression_ratio,task,metric,value
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.25,tool_call,schema_valid,0.8889
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.25,tool_call,args_exact,0.4444
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.25,tool_call,name_substring,1.0
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.5,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.5,tool_call,name_match,0.8889
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.5,tool_call,schema_valid,0.6667
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.5,tool_call,args_exact,0.3333
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.5,tool_call,name_substring,0.8889
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.75,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.75,tool_call,name_match,0.3333
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.75,tool_call,schema_valid,0.3333
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.75,tool_call,args_exact,0.2222
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.75,tool_call,name_substring,0.3333
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.25,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.25,tool_call,name_match,0.8889
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.25,tool_call,schema_valid,0.5556
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.25,tool_call,args_exact,0.2222
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.25,tool_call,name_substring,1.0
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.5,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.5,tool_call,name_match,0.8889
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.5,tool_call,schema_valid,0.3333
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.5,tool_call,args_exact,0.0
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.5,tool_call,name_substring,0.8889
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.75,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.75,tool_call,name_match,0.6667
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.75,tool_call,schema_valid,0.3333
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.75,tool_call,args_exact,0.3333
Qwen/Qwen2.5-0.5B-Instruct,ExpectedAttention,0.75,tool_call,name_substring,0.6667
Qwen/Qwen2.5-0.5B-Instruct,none,0.0,humaneval,pass@1,0.0
Qwen/Qwen2.5-0.5B-Instruct,none,0.0,humaneval,passed,0.0
Qwen/Qwen2.5-0.5B-Instruct,none,0.0,humaneval,total,10.0
Qwen/Qwen2.5-0.5B-Instruct,none,0.0,humaneval,edit_sim,0.0826
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.5,humaneval,pass@1,0.0
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.5,humaneval,passed,0.0
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.5,humaneval,total,10.0
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.5,humaneval,edit_sim,0.0504
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.5,humaneval,pass@1,0.0
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.5,humaneval,passed,0.0
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.5,humaneval,total,10.0
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.5,humaneval,edit_sim,0.08
